Player Name,Archetype,Total MP,Total 3P,Total 3PA,Total 2P,Total 2PA,Total FT,Total FTA,Total ORB,Total DRB,Total AST,Total STL,Total BLK,Total TOV,Total PF,Total PTS
Aaron Holiday,2,1271.4,85.80000000000001,218.39999999999998,101.4,202.8,54.599999999999994,62.400000000000006,23.4,101.4,140.4,39.0,7.800000000000001,54.599999999999994,124.80000000000001,514.8
Aaron Wiggins,2,1224.6,62.400000000000006,124.80000000000001,148.2,249.60000000000002,54.599999999999994,70.2,62.400000000000006,124.80000000000001,85.80000000000001,54.599999999999994,15.600000000000001,54.599999999999994,93.6,538.2
Aleksej Pokusevski,2,811.5999999999999,35.0,110.19999999999999,61.60000000000001,133.4,61.60000000000001,83.80000000000001,33.2,145.6,72.0,29.4,27.6,38.8,43.6,290.8
Amir Coffey,2,1463.0,70.0,182.0,98.0,168.0,63.0,70.0,28.0,119.0,77.0,42.0,14.0,35.0,105.0,462.0
Anthony Black,2,1166.1,34.5,96.6,75.9,151.8,48.3,82.8,34.5,103.5,89.7,34.5,20.7,55.2,110.4,317.4
Ben Sheppard,2,815.1,51.300000000000004,153.9,39.9,74.10000000000001,22.8,28.5,17.099999999999998,74.10000000000001,51.300000000000004,34.199999999999996,0.0,17.099999999999998,85.5,250.8
Bismack Biyombo,2,1582.0,0.0,0.0,149.0,264.0,53.0,109.0,126.0,296.0,105.0,22.0,72.0,87.0,176.0,350.0
Blake Wesley,2,878.4,12.200000000000001,54.9,91.5,158.6,54.9,79.3,18.3,73.2,164.70000000000002,30.5,6.1000000000000005,54.9,91.5,268.40000000000003
Bruno Fernando,2,684.0,0.0,4.5,108.0,184.49999999999997,62.99999999999999,94.5,58.5,135.0,45.0,27.0,27.0,45.0,108.0,283.5
Bryce McGowens,2,879.1,35.4,100.3,64.9,129.8,64.9,82.6,17.7,82.6,53.1,23.6,11.8,29.5,76.7,300.9
Cam Reddish,2,984.0,38.400000000000006,110.39999999999999,52.800000000000004,124.80000000000001,43.2,52.800000000000004,28.799999999999997,72.0,48.0,48.0,14.399999999999999,28.799999999999997,62.400000000000006,259.20000000000005
Cam Whitmore,2,878.9,79.89999999999999,220.9,131.6,249.1,75.2,112.8,42.300000000000004,136.29999999999998,32.9,28.2,18.8,47.0,65.8,578.1
Cason Wallace,2,1689.2,98.39999999999999,237.79999999999998,123.0,205.0,32.800000000000004,41.0,49.199999999999996,131.20000000000002,123.0,73.8,41.0,41.0,131.20000000000002,557.6
Cedi Osman,2,1267.2,86.39999999999999,223.20000000000002,100.8,165.6,36.0,50.4,21.599999999999998,158.4,122.39999999999999,36.0,14.4,50.4,108.0,489.59999999999997
Chris Boucher,2,705.0,30.0,95.0,80.0,125.0,70.0,90.0,60.0,145.0,25.0,15.0,25.0,30.0,70.0,320.0
Chris Duarte,2,719.8,41.3,129.8,35.4,82.6,23.6,35.4,23.6,82.6,41.3,29.5,5.9,23.6,82.6,230.1
Christian Wood,2,869.9999999999999,35.0,114.99999999999999,90.0,150.0,65.0,95.0,40.0,215.0,50.0,15.0,35.0,50.0,70.0,345.0
Cody Martin,2,753.1999999999999,28.0,86.8,56.0,128.79999999999998,19.599999999999998,33.6,19.599999999999998,89.60000000000001,103.60000000000001,30.800000000000004,16.8,44.800000000000004,47.6,210.0
Craig Porter Jr.,2,647.6999999999999,10.200000000000001,35.699999999999996,102.0,193.79999999999998,40.800000000000004,56.1,20.400000000000002,86.7,117.3,20.400000000000002,15.299999999999999,45.9,40.800000000000004,285.59999999999997
D?vis Bert?ns,2,1349.0,155.10000000000002,402.5,34.0,66.7,60.4,66.2,18.5,103.9,68.6,51.2,24.3,35.5,111.2,578.0
Dalen Terry,2,678.5,17.7,76.7,53.1,82.6,23.6,41.3,29.5,82.6,82.6,29.5,17.7,29.5,82.6,182.9
Danilo Gallinari,2,1261.6,60.8,187.1,105.30000000000001,196.20000000000002,166.4,197.9,41.2,177.1,109.0,28.5,11.0,48.9,99.3,561.1
Dante Exum,2,1089.0,55.0,110.0,110.0,192.5,55.0,66.0,27.5,126.49999999999999,159.5,22.0,5.5,49.5,82.5,429.0
Dario Âari?,2,1100.8,76.8,198.4,108.8,192.0,76.8,96.0,70.4,211.2,147.2,32.0,12.8,76.8,115.2,512.0
Davion Mitchell,2,1101.6000000000001,57.6,158.4,86.39999999999999,165.6,28.8,43.199999999999996,21.599999999999998,79.2,136.79999999999998,14.4,0.0,43.199999999999996,86.39999999999999,381.59999999999997
Day'Ron Sharpe,2,921.1,6.1000000000000005,12.200000000000001,164.70000000000002,280.59999999999997,73.2,122.0,158.6,225.70000000000002,85.39999999999999,24.400000000000002,42.699999999999996,67.10000000000001,128.1,414.8
De'Anthony Melton,2,1022.1999999999999,76.0,212.79999999999998,60.800000000000004,144.4,64.6,79.8,26.599999999999998,114.0,114.0,60.800000000000004,15.200000000000001,38.0,83.60000000000001,421.8
Dean Wade,2,1107.0,81.0,199.8,16.2,32.4,21.6,27.0,37.8,183.6,43.2,37.8,27.0,21.6,91.8,291.6
Delon Wright,2,1483.6,47.900000000000006,134.8,95.4,241.1,73.3,92.1,37.6,133.0,236.4,107.60000000000001,18.8,26.8,65.8,422.4
Dennis Smith Jr.,2,1058.3999999999999,33.6,106.39999999999999,117.60000000000001,229.59999999999997,44.800000000000004,56.0,50.4,112.0,201.6,67.2,11.200000000000001,67.2,123.20000000000002,369.59999999999997
Dereck Lively II,2,1292.5,0.0,0.0,220.0,291.5,38.5,82.5,137.5,242.00000000000003,60.50000000000001,38.5,77.0,49.5,143.0,484.00000000000006
Drew Eubanks,2,1170.0,0.0,0.0,150.0,247.5,75.0,90.0,105.0,217.5,60.0,30.0,60.0,60.0,112.5,382.5
Duop Reath,2,1217.1999999999998,88.4,244.8,142.8,251.60000000000002,68.0,95.19999999999999,95.19999999999999,156.39999999999998,68.0,34.0,40.8,54.400000000000006,163.2,618.8
Dwight Powell,2,837.9000000000001,0.0,0.0,69.30000000000001,100.80000000000001,63.0,88.19999999999999,94.5,119.69999999999999,81.9,25.200000000000003,18.9,31.5,113.4,207.89999999999998
Dyson Daniels,2,1360.3,42.699999999999996,134.20000000000002,97.60000000000001,176.9,36.6,54.9,61.0,176.9,164.70000000000002,85.39999999999999,24.400000000000002,61.0,103.7,353.8
Evan Fournier,2,1160.5,66.0,262.2,90.4,181.7,57.0,72.1,12.200000000000001,107.6,97.4,58.800000000000004,12.200000000000001,43.599999999999994,95.4,441.6
GG Jackson II,2,1233.6,100.80000000000001,288.0,139.2,278.4,115.19999999999999,153.60000000000002,52.800000000000004,144.0,57.599999999999994,28.799999999999997,24.0,67.19999999999999,62.400000000000006,700.8
Garrison Mathews,2,990.0,85.8,191.4,19.8,33.0,33.0,39.6,19.8,72.60000000000001,39.6,19.8,6.6000000000000005,19.8,112.2,323.40000000000003
Gary Harris,2,1296.0,75.6,205.2,54.0,91.8,32.4,43.2,21.6,64.8,86.4,48.6,16.2,32.4,91.8,372.6
Gary Payton II,2,682.0,22.0,57.2,83.6,127.6,13.2,22.0,44.0,66.0,48.400000000000006,39.6,17.6,26.4,79.2,242.0
Goga Bitadze,2,954.8000000000001,0.0,12.4,124.0,192.20000000000002,55.800000000000004,86.8,111.60000000000001,179.79999999999998,80.60000000000001,31.0,74.39999999999999,43.4,105.39999999999999,310.0
Gradey Dick,2,1266.0,90.0,240.0,102.0,204.0,42.0,54.0,30.0,108.0,66.0,36.0,0.0,48.0,90.0,510.0
Haywood Highsmith,2,1366.2,79.2,191.4,79.2,138.6,19.8,33.0,66.0,145.20000000000002,72.60000000000001,52.800000000000004,33.0,33.0,118.8,402.59999999999997
Isaiah Jackson,2,772.9,0.0,5.9,153.4,230.1,70.8,100.3,94.4,141.6,47.2,35.4,59.0,41.3,135.7,383.5
Isaiah Joe,2,1443.0,148.2,351.0,78.0,132.6,46.8,54.599999999999994,31.200000000000003,148.2,101.4,46.8,23.4,46.8,85.80000000000001,639.5999999999999
Isaiah Stewart,2,1421.3999999999999,69.0,174.79999999999998,119.60000000000001,207.0,64.39999999999999,82.8,73.60000000000001,230.0,73.60000000000001,18.400000000000002,36.800000000000004,64.39999999999999,101.2,501.40000000000003
Jacob Gilyard,2,1397.1,101.0,251.5,15.600000000000001,46.8,3.7,3.7,16.8,72.2,270.79999999999995,64.7,7.800000000000001,59.5,78.30000000000001,346.1
Jaden Hardy,2,985.5,80.30000000000001,226.3,116.80000000000001,255.5,58.400000000000006,73.0,21.9,109.5,109.5,21.9,7.300000000000001,58.400000000000006,80.30000000000001,532.9
Jaden Springer,2,1011.5,21.1,97.6,97.6,196.7,69.9,87.80000000000001,68.4,88.0,87.80000000000001,70.1,27.7,68.4,128.7,325.4
Jae Crowder,2,1155.0,60.0,165.0,55.00000000000001,105.0,25.0,35.0,30.0,130.0,65.0,40.0,10.0,25.0,75.0,310.0
Jae'Sean Tate,2,1033.5,26.0,78.0,84.5,149.5,26.0,39.0,58.5,136.5,65.0,39.0,13.0,39.0,136.5,266.5
Jake LaRavia,2,805.0,52.5,157.5,66.5,147.0,91.0,108.5,52.5,77.0,59.5,28.0,10.5,45.5,70.0,378.0
Jakob Poeltl,2,1320.0,0.0,0.0,250.0,380.0,60.0,105.0,145.0,285.0,125.0,35.0,75.0,75.0,150.0,555.0
Jalen Smith,2,1049.2,61.0,146.4,170.79999999999998,250.09999999999997,73.2,103.7,109.8,225.70000000000002,61.0,18.3,36.6,42.699999999999996,122.0,603.9
James Wiseman,2,1089.9,0.0,0.0,189.0,302.4,69.30000000000001,100.80000000000001,107.1,226.8,56.7,12.600000000000001,37.8,63.0,138.60000000000002,447.29999999999995
Jared Butler,2,568.0,24.0,80.0,76.0,124.0,32.0,36.0,8.0,48.0,128.0,28.0,8.0,52.0,60.0,252.0
Jaxson Hayes,2,875.0,0.0,7.0,126.0,168.0,49.0,84.0,70.0,140.0,35.0,35.0,28.0,42.0,126.0,301.0
Jaylin Williams,2,897.0,55.2,144.9,41.4,82.8,34.5,41.4,34.5,200.1,110.4,27.6,27.6,34.5,96.6,276.0
Jeff Green,2,1310.4,54.599999999999994,163.8,117.0,202.8,124.80000000000001,148.2,46.8,132.6,70.2,15.600000000000001,31.200000000000003,46.8,101.4,507.0
Jevon Carter,2,1000.8000000000001,79.2,237.6,57.6,129.6,7.2,7.2,14.4,50.4,93.60000000000001,36.0,14.4,36.0,72.0,360.0
Jock Landale,2,761.6,11.200000000000001,39.199999999999996,95.2,168.0,50.4,67.2,89.60000000000001,84.0,67.2,22.400000000000002,33.6,33.6,72.8,274.40000000000003
Joe Ingles,2,1169.6,68.0,163.2,27.200000000000003,68.0,27.200000000000003,34.0,20.4,122.4,204.0,40.8,6.800000000000001,68.0,88.4,299.20000000000005
John Konchar,2,1171.5,38.5,121.00000000000001,49.5,88.0,22.0,27.5,71.5,187.0,110.0,49.5,49.5,44.0,77.0,236.5
Jonathan Isaac,2,916.4000000000001,40.599999999999994,110.19999999999999,104.4,174.0,58.0,81.19999999999999,75.4,185.60000000000002,29.0,40.599999999999994,69.6,29.0,63.800000000000004,394.4
Jordan Hawkins,2,1159.1000000000001,107.2,294.8,67.0,160.79999999999998,67.0,80.39999999999999,26.8,120.60000000000001,67.0,20.099999999999998,6.7,40.199999999999996,73.7,522.6
Jose Alvarado,2,1030.3999999999999,78.39999999999999,207.20000000000002,61.60000000000001,140.0,33.6,50.4,22.400000000000002,100.8,117.60000000000001,61.60000000000001,16.8,39.199999999999996,89.60000000000001,397.59999999999997
