Player Name,Archetype,Minutes Played,Three-Point Field Goals Made,Three-Point Field Goals Attempted,Two-Point Field Goals Made,Two-Point Field Goals Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls
Alec Burks,4,52.9,5.3,14.3,3.8,10.8,6.0,7.0,1.1,5.5,3.8000000000000003,1.2,0.5,2.0999999999999996,3.1
Anfernee Simons,4,34.4,3.4,8.8,4.4,9.4,3.5,3.9,0.5,3.2,5.5,0.5,0.1,2.7,2.1
Anthony Edwards,4,35.1,2.4,6.7,6.7,13.0,5.4,6.4,0.7,4.8,5.1,1.3,0.5,3.1,1.8
Austin Reaves,4,32.1,1.9,5.1,3.7,6.3,2.8,3.3,0.7,3.6,5.5,0.8,0.3,2.1,1.9
Bradley Beal,4,33.3,1.9,4.4,5.2,9.4,2.1,2.5,1.0,3.4,5.0,1.0,0.5,2.5,2.4
Brandon Ingram,4,32.9,1.3,3.8,6.5,12.1,3.8,4.8,0.7,4.4,5.7,0.8,0.6,2.5,2.3
CJ McCollum,4,32.7,3.6,8.4,3.7,7.5,1.7,2.1,0.6,3.7,4.6,0.9,0.6,1.7,1.9
Cade Cunningham,4,33.5,1.9,5.4,6.5,13.4,3.8,4.4,0.5,3.8,7.5,0.9,0.4,3.4,2.5
Cam Thomas,4,31.4,2.2,6.0,5.8,12.0,4.3,5.1,0.4,2.8,2.9,0.7,0.2,1.9,2.1
Cameron Payne,4,51.0,4.1,10.6,4.1,8.6,2.2,2.5,0.9,3.7,8.0,1.6,0.5,2.6,4.9
Coby White,4,36.5,2.6,7.0,4.2,8.3,2.8,3.3,0.6,4.0,5.1,0.7,0.2,2.1,2.4
Collin Sexton,4,26.6,1.6,4.2,4.8,9.1,4.1,4.7,0.9,1.7,4.9,0.8,0.2,2.1,2.0
D'Angelo Russell,4,32.7,3.0,7.2,3.5,7.0,2.1,2.5,0.4,2.7,6.3,0.9,0.5,2.1,2.1
D?vis Bert?ns,4,42.6,4.9,12.6,1.0,2.0,2.2,2.4,0.6,3.3,2.3,1.6,0.8,1.1,3.6
Damian Lillard,4,35.3,3.0,8.5,4.4,9.0,6.5,7.0,0.5,3.9,7.0,1.0,0.2,2.6,1.8
Danilo Gallinari,4,51.8,2.8000000000000003,7.4,3.9,7.5,7.9,9.3,1.6,7.0,5.0,1.2,0.6,1.8,4.4
Darius Garland,4,33.4,2.3,6.2,4.3,8.5,2.6,3.1,0.5,2.1,6.5,1.3,0.1,3.1,1.7
David Roddy,4,45.0,1.8,6.3,4.6,9.5,1.8,2.5,2.0,6.0,3.0,1.0,0.4,2.2,2.7
De'Aaron Fox,4,35.9,2.9,7.8,6.8,13.1,4.2,5.7,0.9,3.7,5.6,2.0,0.4,2.6,2.6
DeMar DeRozan,4,37.8,0.9,2.8,7.3,14.3,6.6,7.7,0.5,3.8,5.3,1.1,0.6,1.7,2.0
Dejounte Murray,4,35.7,2.6,7.1,6.0,11.7,2.7,3.4,0.8,4.5,6.4,1.4,0.3,2.6,1.8
Delon Wright,4,50.0,1.7000000000000002,4.7,3.1,7.7,2.4,3.0,1.2000000000000002,4.3,7.6,3.6,0.6000000000000001,0.8,2.0999999999999996
Deni Avdija,4,30.1,1.2,3.1,4.2,7.6,2.7,3.6,1.1,6.1,3.8,0.8,0.5,2.1,2.5
Desmond Bane,4,34.4,3.3,8.6,5.3,9.9,3.3,3.8,0.9,3.5,5.5,1.0,0.5,2.7,2.9
Devin Booker,4,36.0,2.2,6.1,7.2,13.0,6.0,6.7,0.8,3.7,6.9,0.9,0.4,2.6,3.0
Devin Vassell,4,33.1,2.4,6.6,4.9,9.0,2.4,3.0,0.4,3.4,4.1,1.1,0.3,1.6,1.1
Donovan Mitchell,4,35.3,3.3,9.0,5.8,10.8,5.0,5.8,0.8,4.3,6.1,1.8,0.5,2.8,2.1
Evan Fournier,4,49.8,2.8,13.1,3.5999999999999996,7.5,2.5,3.0,0.4,4.7,4.1,3.1,0.4,1.7,4.3
Franz Wagner,4,32.5,1.3,4.6,6.0,10.6,3.8,4.4,1.0,4.3,3.7,1.1,0.4,1.9,2.3
Fred VanVleet,4,36.8,3.1,8.0,2.7,5.9,2.7,3.1,0.5,3.4,8.1,1.4,0.8,1.7,2.5
Ja Morant,4,35.3,1.6,5.7,7.3,13.2,5.8,7.1,0.7,4.9,8.1,0.8,0.6,3.0,2.1
Jaden Ivey,4,28.8,1.6,4.8,3.8,7.8,2.9,3.9,1.1,2.3,3.8,0.7,0.5,2.5,2.6
Jalen Brunson,4,35.4,2.7,6.8,7.5,14.6,5.5,6.5,0.6,3.1,6.7,0.9,0.2,2.4,1.9
Jalen Green,4,31.7,2.5,7.4,4.4,8.9,3.5,4.3,0.5,4.7,3.5,0.8,0.3,2.3,1.4
Jalen Williams,4,31.3,1.5,3.4,6.1,10.6,2.5,3.1,0.5,3.5,4.5,1.1,0.6,1.7,2.5
Jamal Murray,4,31.5,2.5,5.8,5.6,10.9,2.7,3.1,0.7,3.4,6.5,1.0,0.7,2.1,1.8
James Harden,4,34.3,2.6,6.8,2.3,4.6,4.2,4.8,0.5,4.7,8.5,1.1,0.8,2.6,1.8
Jaren Jackson Jr.,4,32.2,1.8,5.5,6.0,12.1,5.1,6.3,1.3,4.2,2.3,1.2,1.6,2.4,3.6
Jaylen Brown,4,33.5,2.1,5.9,6.9,12.1,3.0,4.3,1.2,4.3,3.6,1.2,0.5,2.4,2.6
Jaylen Nowell,4,48.3,1.4,6.300000000000001,6.7,11.7,1.8,2.5,1.6,4.4,4.1,0.8999999999999999,0.7,1.6,3.0999999999999996
Jayson Tatum,4,35.7,3.1,8.2,6.0,11.0,5.6,6.7,0.9,7.2,4.9,1.0,0.6,2.5,2.0
Jerami Grant,4,33.9,2.1,5.1,5.0,10.6,4.7,5.8,0.7,2.9,2.8,0.8,0.6,2.1,2.2
Jimmy Butler,4,34.0,1.0,2.4,5.6,10.8,6.6,7.7,1.8,3.6,5.0,1.3,0.3,1.7,1.1
Jordan Clarkson,4,30.6,1.7,5.6,4.5,9.2,3.2,3.7,0.9,2.5,5.0,0.6,0.1,2.7,1.5
Jordan Nwora,4,39.5,2.4,7.3,5.2,9.4,2.3,2.8,1.5,6.5,3.5,1.4,0.8,2.9,2.9
Jordan Poole,4,30.1,2.4,7.2,3.9,8.0,2.5,2.8,0.4,2.3,4.4,1.1,0.3,2.4,3.1
Julius Randle,4,35.4,1.7,5.3,6.9,12.9,5.1,6.6,2.2,7.0,5.0,0.5,0.3,3.5,2.7
Karl-Anthony Towns,4,32.7,2.2,5.3,5.5,10.1,4.1,4.7,1.5,6.8,3.0,0.7,0.7,2.9,3.3
Kawhi Leonard,4,34.3,2.1,4.9,6.9,12.1,3.7,4.2,1.2,4.9,3.6,1.6,0.9,1.8,1.4
Kenneth Lofton Jr.,4,43.4,1.5,5.8,6.8999999999999995,12.2,3.5999999999999996,5.0,3.2,6.1,7.3,1.3,0.9,3.6,4.4
Kevin Durant,4,37.2,2.2,5.4,7.8,13.7,4.8,5.6,0.5,6.1,5.0,0.9,1.2,3.3,1.8
Kyle Kuzma,4,32.6,2.2,6.4,6.5,12.3,2.7,3.4,0.9,5.7,4.2,0.5,0.7,2.7,2.2
Kyrie Irving,4,35.0,3.0,7.3,6.7,12.2,3.3,3.6,0.8,4.2,5.2,1.3,0.5,1.8,1.9
LaMelo Ball,4,32.3,3.2,9.0,5.1,10.3,4.1,4.7,1.3,3.8,8.0,1.8,0.2,3.8,3.6
Lauri Markkanen,4,33.1,3.2,8.0,4.6,8.2,4.5,5.0,2.2,5.9,2.0,0.9,0.5,1.4,1.8
LeBron James,4,35.3,2.1,5.1,7.5,12.8,4.3,5.7,0.9,6.4,8.3,1.3,0.5,3.5,1.1
Luka Don?i?,4,37.5,4.1,10.6,7.4,13.0,6.8,8.7,0.8,8.4,9.8,1.4,0.5,4.0,2.1
Malachi Flynn,4,46.6,3.0,9.1,4.5,8.5,3.0,4.1,1.0,4.9,6.8,2.1,0.4,3.3,3.5
Marcus Morris,4,48.9,3.0,7.199999999999999,4.1,8.6,1.9,2.6,1.4,6.5,2.2,0.9,0.8,2.0,4.2
Marcus Smart,4,30.3,2.1,6.7,3.0,5.2,2.2,2.8,0.3,2.4,4.3,2.1,0.3,3.1,2.7
Mikal Bridges,4,34.8,2.7,7.2,4.2,8.6,3.1,3.9,0.8,3.7,3.6,1.0,0.4,2.0,1.4
Miles Bridges,4,37.4,2.3,6.5,5.8,11.0,2.5,3.1,1.0,6.3,3.3,0.9,0.5,2.0,1.7
Nikola Joki?,4,34.6,1.1,2.9,9.4,14.9,4.5,5.5,2.8,9.5,9.0,1.4,0.9,3.0,2.5
Paolo Banchero,4,35.0,1.5,4.4,6.5,13.2,5.1,7.0,1.0,5.9,5.4,0.9,0.6,3.1,1.9
Patrick Beverley,4,60.5,2.5,7.6,3.9000000000000004,8.0,3.0,3.5,2.0,7.9,8.6,1.7999999999999998,1.3,2.5,5.3
Paul George,4,33.8,3.3,7.9,4.6,8.8,3.6,3.9,0.5,4.7,3.5,1.5,0.5,2.1,2.7
Quentin Grimes,4,59.5,4.0,14.100000000000001,2.4000000000000004,5.6,2.9,3.5,0.8,5.1,4.8,2.2,0.8999999999999999,2.2,4.5
Scoot Henderson,4,28.5,1.4,4.3,3.5,8.5,2.7,3.3,0.9,2.3,5.4,0.8,0.2,3.4,3.1
Scottie Barnes,4,34.9,1.7,4.9,5.8,10.8,3.3,4.2,2.4,5.9,6.1,1.3,1.5,2.8,2.0
Seth Curry,4,46.599999999999994,2.8000000000000003,8.2,3.8,7.9,2.5,2.7,1.2000000000000002,3.7,3.6,1.6,0.6000000000000001,1.5,2.7
Shaedon Sharpe,4,33.1,1.9,5.6,3.6,7.9,3.1,3.7,1.3,3.7,2.9,0.9,0.4,2.3,2.8
