Player,Salary
Stephen Curry,51915615
Kevin Durant,47649433
Joel Embiid,47607350
LeBron James,47607350
Nikola Jokic,47607350
Bradley Beal,46741590
Damian Lillard,45640084
Giannis Antetokounmpo,45640084
Kawhi Leonard,45640084
Paul George,45640084
Jimmy Butler,45183960
Klay Thompson,43219440
Rudy Gobert,41000000
Fred VanVleet,40806300
Anthony Davis,40600080
Luka Doncic,40064220
Zach LaVine,40064220
Trae Young,40064220
Tobias Harris,39270150
Kyrie Irving,38037037
Pascal Siakam,37893408
Ben Simmons,37893408
Jrue Holiday,37620347
Devin Booker,36016200
Karl-Anthony Towns,36016200
Kristaps Porzingis,36016200
CJ McCollum,35802469
James Harden,35680595
Zion Williamson,34005250
Ja Morant,34005250
Darius Garland,34005250
Brandon Ingram,33833400
Jamal Murray,33833400
Shai Gilgeous-Alexander,33386850
Michael Porter,33386850
Gordon Hayward,33319397
Donovan Mitchell,33162030
De'Aaron Fox,32600060
Bam Adebayo,32600060
Jayson Tatum,32600060
Deandre Ayton,32459438
Jaylen Brown,31830357
Chris Paul,30800000
Kyle Lowry,29682540
Khris Middleton,29320988
Domantas Sabonis,29300000
DeMar DeRozan,28600000
Jordan Poole,27955357
Jerami Grant,27586207
Jaren Jackson Jr,27102202
Tyler Herro,27000000
Julius Randle,26943840
Jalen Brunson,26346666
Cameron Johnson,25679348
Kyle Kuzma,25568182
John Collins,25340000
Brook Lopez,25000000
Mike Conley,24360000
Andrew Wiggins,24330357
Anfernee Simons,24107143
RJ Barrett,23883929
Jordan Clarkson,23487629
Terry Rozier,23205221
Dillon Brooks,22627671
Malcolm Brogdon,22500000
Draymond Green,22321429
Bruce Brown,22000000
Mikal Bridges,21700000
Aaron Gordon,21266182
Myles Turner,20975000
Clint Capela,20616000
Lonzo Ball,20465117
Spencer Dinwiddie,20411797
De'Andre Hunter,20089286
Keldon Johnson,20000000
Bojan Bogdanovic,20000000
Jarrett Allen,20000000
Joe Harris,19928571
Jakob Poeltl,19500000
Buddy Hield,19321859
Evan Fournier,18857143
Derrick White,18857143
Bogdan Bogdanovic,18700000
OG Anunoby,18642857
Marcus Smart,18583713
Gary Trent Jr,18560000
Nikola Vucevic,18518519
Dejounte Murray,18214000
Duncan Robinson,18154000
Norman Powell,18000000
Tim Hardaway Jr,17897728
Marcus Morris,17612280
Collin Sexton,17525000
Jonathan Isaac,17400000
D'Angelo Russell,17307693
Lauri Markkanen,17259999
Harrison Barnes,17000000
Markelle Fultz,17000000
Davis Bertans,17000000
Jusuf Nurkic,16875000
PJ Washington,16847826
Kevin Porter,15860000
Rui Hachimura,15740741
Mitchell Robinson,15681818
Kevin Huerter,15669643
Jonas Valanciunas,15435000
Caris LeVert,15384616
